Country,Category,Index,种族表征,性别,年龄,体格,服装,专业道具,等级标识,表情庄重度,姿态开放性,视线方向,面部表情,情绪强度,疲惫感表征,肢体紧张度,手势含义,团队中心性,互动亲密性,场景类型,医疗科技水平,环境秩序与卫生,国家符号,传统符号,现代戏叙事,拍摄视角,用光风格,色彩基调,景别,
Argentina,Doctor,1,白人,男,老年,清瘦,标准白大褂+条纹衬衫,无,无,75,收敛,远方,2,"快乐: 0, 悲伤: 50,愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",眼袋、皱纹、胡须灰白,中性,无,无中心（集体群像）,远距离,实验室,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,近景,
Argentina,Doctor,2,白人,男,老年,清瘦,白大褂 + 条纹衬衫,无,无,90,收敛,直视,4,"快乐:70, 悲伤:0, 愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",皱纹、灰白胡须,中性,无,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Argentina,Doctor,3,白人,男,中年,匀称,手术服,口罩挂颈、笔插口袋,无,85,收敛,望向患者,2,"快乐: 0, 悲伤: 40,愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",眼袋、皱纹,紧张,医生位置更低,无中心（集体群像）,近距离无接触,手术室,高科技密集,高度整洁,无,无,纯粹西方现代,俯拍,自然光,冷色调,特写,
Argentina,Doctor,4,白人,男,青年,匀称,手术服,笔记本电脑、键盘输入动作,无,70,中性,望向患者,3,"快乐: 30, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,中性,医生位置更低,平等协作（背景有女性医护人员）,近距离无接触,现代化医院,高科技密集,普通整洁,无,无,纯粹西方现代,平视,自然光,冷色调,中景,
Argentina,Nurse,1,白人,女,中年,清瘦,护士服（浅蓝）+ 帽子,无,姓名牌,95,收敛,直视观众,2,"快乐: 0,悲伤: 60,愤怒: 0,恐惧: 0,惊讶: 0,厌恶: 0",眼袋、皱纹,紧张,医生位置更低,有明确中心人物,近距离无接触,现代化医院,基础医疗设备,普通整洁,无,无,纯粹西方现代,平视,昏暗光,灰暗色调,近景,
Argentina,Nurse,2,白人,女,中年,匀称,传统护士服（蓝白相间）+ 头巾,无,无,80,收敛,望向患者/同事,3,"快乐: 0,悲伤: 40,愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",无,中性,医生位置更低,无中心（集体群像）,近距离无接触,社区诊所,基础医疗设备,普通整洁,无,传统符号,传统与现代混合,俯拍,自然光,冷色调,中景,
Argentina,Nurse,3,白人,女,老年,清瘦,蓝色手术服 + 蓝帽,无,姓名牌,75,收敛,望向远方/不确定,4,"快乐: 30, 悲伤: 20, 愤怒: 0, 恐惧: 0, 惊讶: 0, 厌恶: 0",皱纹,中性,医生位置更低,无中心（集体群像）,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,冷色调,特写,
Argentina,Nurse,4,白人,女,青年,匀称,深色手术服,无,姓名牌,85,收敛,望向患者/同事,2,"快乐: 0, 悲伤: 50,愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",黑眼圈、眼袋,紧张,医生位置更低,有明确中心人物,有身体接触,灾难现场,设备简陋或缺失,杂乱/艰苦,无,无,传统与现代混合,仰拍,昏暗光,灰暗色调,中景,
Argentina,Team,1,白人/黑人/混血,男,中年,匀称,手术服（蓝色）,无,姓名牌,40,开放,直视观众,5,"快乐: 80, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,有明确中心人物,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,近景,
Argentina,Team,2,白人/黑人/混血,混合,青年至中年,匀称,手术服（蓝/绿）,无,姓名牌、胸牌（多人可见）,50,开放,直视观众,5,"快乐: 70, 悲伤: 0，愤怒:0, 恐惧:0, 惊讶:0, 厌恶:0",无,放松,医生位置更低,平等协作,近距离无接触,现代化医院,高科技密集,高度整洁,无,无,纯粹西方现代,平视,自然光,暖色调,全景,
